Category,"Row Number","Activity ID","Error Message"
"Duplicate Row Csv",119,808404604,"Row 119: Duplicate row in CSV file"
"Duplicate Row Csv",265,,"Row 265: Duplicate row in CSV file"
"Duplicate Row Csv",270,809277189,"Row 270: Duplicate row in CSV file"
"Duplicate Row Csv",720,811701967,"Row 720: Duplicate row in CSV file"
"Duplicate Row Csv",795,810775927,"Row 795: Duplicate row in CSV file"
"Duplicate Row Csv",846,814060839,"Row 846: Duplicate row in CSV file"
"Duplicate Row Csv",859,820548880,"Row 859: Duplicate row in CSV file"
"Duplicate Row Csv",864,821765107,"Row 864: Duplicate row in CSV file"
"Duplicate Activity",5,809859258,"Row 5: Duplicate activity detected in database (CSV ActivityID: 809859258, Existing Activity ID: 18436, ActivityDateTime: 2023-09-13 12:19:05)"
"Duplicate Activity",13,809933577,"Row 13: Duplicate activity detected in database (CSV ActivityID: 809933577, Existing Activity ID: 18443, ActivityDateTime: 2023-09-13 14:32:18)"
"Duplicate Activity",14,809933613,"Row 14: Duplicate activity detected in database (CSV ActivityID: 809933613, Existing Activity ID: 18443, ActivityDateTime: 2023-09-13 14:32:25)"
"Duplicate Activity",22,810024835,"Row 22: Duplicate activity detected in database (CSV ActivityID: 810024835, Existing Activity ID: 18450, ActivityDateTime: 2023-09-13 17:59:19)"
"Duplicate Activity",24,810030577,"Row 24: Duplicate activity detected in database (CSV ActivityID: 810030577, Existing Activity ID: 18451, ActivityDateTime: 2023-09-13 18:16:09)"
"Duplicate Activity",25,810030599,"Row 25: Duplicate activity detected in database (CSV ActivityID: 810030599, Existing Activity ID: 18451, ActivityDateTime: 2023-09-13 18:16:19)"
"Duplicate Activity",27,810044314,"Row 27: Duplicate activity detected in database (CSV ActivityID: 810044314, Existing Activity ID: 18452, ActivityDateTime: 2023-09-13 18:56:36)"
"Duplicate Activity",31,810048860,"Row 31: Duplicate activity detected in database (CSV ActivityID: 810048860, Existing Activity ID: 18455, ActivityDateTime: 2023-09-13 19:08:58)"
"Duplicate Activity",38,810239824,"Row 38: Duplicate activity detected in database (CSV ActivityID: 810239824, Existing Activity ID: 18461, ActivityDateTime: 2023-09-14 13:42:31)"
